timestamp,value,Games,Wins
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_RedirectionJump,266,149
2025-09-16T00:00:00.000Z,Threes_Pro_Ability_CurveSpike,5,1
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_ShieldBreaker,694,398
2025-09-16T00:00:00.000Z,Threes_Diamond_Style_TimeskipTobio2,140,77
2025-09-16T00:00:00.000Z,Threes_Gold_Style_TimeskipTobio2,422,213
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Rintaro,752,405
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Tobio,216,98
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Morisuke,233,96
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Asahi,398,193
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_SuperSprint,589,292
2025-09-16T00:00:00.000Z,Twos_Gold_Style_Kazana,241,136
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_BoomJump,670,357
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Mikage,161,93
2025-09-16T00:00:00.000Z,Twos_Gold_Style_TimeskipToru,133,75
2025-09-16T00:00:00.000Z,Twos_Diamond_Ability_Moonball,113,57
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_CurveSpike,1046,507
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_TimeskipTobio2,714,358
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_Yogan,112,54
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Tetsuro,58,27
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Tobio,589,221
2025-09-16T00:00:00.000Z,Threes_Silver_Ability_ZeroGravitySet,547,269
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Morisuke,197,60
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Yogan,1143,483
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Ohira,136,62
2025-09-16T00:00:00.000Z,Twos_Silver_Ability_TeamSpirit,854,376
2025-09-16T00:00:00.000Z,Twos_Diamond_Style_TeamCaptain,91,42
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_DivineStrength,352,177
2025-09-16T00:00:00.000Z,Twos_Gold_Style_TimeskipTobio,208,114
2025-09-16T00:00:00.000Z,Twos_Gold_Ability_Moonball,420,189
2025-09-16T00:00:00.000Z,Twos_Silver_Style_Yu,128,56
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_TimeskipTobio,116,61
2025-09-16T00:00:00.000Z,Threes_Gold_Style_TimeskipTobio,71,45
2025-09-16T00:00:00.000Z,Threes_Silver_Style_Kotaru,451,221
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_RollingThunder,38,23
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Jester,177,92
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_Moonball,60,30
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_Yogan,287,139
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_CurveSpike,726,315
2025-09-16T00:00:00.000Z,Threes_Bronze_Ability_MagneticPull,813,385
2025-09-16T00:00:00.000Z,Threes_Silver_Style_TimeskipShoyo,66,33
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_MagneticPull,506,275
2025-09-16T00:00:00.000Z,Threes_Gold_Style_TeamCaptain,63,42
2025-09-16T00:00:00.000Z,Threes_Gold_Ability_FourthTouch,132,59
2025-09-16T00:00:00.000Z,Threes_Gold_Style_Kimiro,47,25
2025-09-16T00:00:00.000Z,Twos_Bronze_Style_Shoyo,249,65
2025-09-16T00:00:00.000Z,Threes_Bronze_Style_TimeskipShoyo2,628,274
